Author,Date,Title,Journal,Journal ID,Volume,Page Start,Page End,Keword,Keword2,Reprint,LookupNumber,PDF
"Allen, R.K. and G.F. Edmunds, Jr.",1976.,^Hyrtanella^: A new genus of Ephemerellidae from Malaysia (Ephemeroptera).,,323,52,133,137,"Ephemerellidae, Malaysia, Hyrtanella christinaea",,1,450,1
"Allen, R.K. and G.F. Edmunds, Jr.",1956.,A list of the mayflies of Oregon.,,1840,33,85,87,"Ephemeroptera, Oregon",,0,456,1
"Allen, R.K. and G.F. Edmunds, Jr.",1963.,"New and little known Ephemerellidae from southern Asia, Africa and Madagascar (Ephemeroptera).",,312,5,11,22,"Ephemeroptera, Asia, Africa, Madagascar, Ephemerellina, Ephemerella, Ephemerellidae, Eurylophella",,1,463,0
"Allen, R.K. and G.F. Edmunds, Jr..",1976,A revision of the genus ^Ametropus^ in North America (Ephemeroptera: Ametropididae).,,214,49,625,635,"Ephemeroptera, Ametropididae, Ametropus, revision, genus",,0,45,1
"Allen, R.K. and R.C. Brusca.",1973,New species of Leptohyphinae from Mexico and Central America (Ephemeroptera: Tricorythidae).,,116,105,83,95,"Ephemeroptera, Tricorythidae, new species, Mexico, Central America",,0,42,1
"Allen, R.K. and R.C. Brusca.",1978.,Generic revisions of Mayfly nymphs II. ^Thraulodes in North and Central America (Leptophlebiidae).,,116,110,413,433,"Ephemeroptera, Leptophlebiidae, Thraulodes, systematics",,0,124,1
"Allen, R.K. and S.D. Cohen.",1977.,"Mayflies (Ephemeroptera) of Mexico and Central America: new species, descriptions, and records.",,116,109,399,414,"Heptageniidae, Mexico, Central America",,0,748,1
"Allen, R.K. and S.S. Roback.",1969.,New species and records of new world Leptohyphinae.,,214,42,372,379,"Ephemeroptera, Tricorythidae, Leptohyphes, spinosus, hirsutus, echinatus, myllonotus, Tricorythodes ocellus, Leptohyphes maculatus, maculatus, setosus, tuberculatus, dolani, robacki, Central America",,1,197,1
"Allen, R.T.",1990.,Insect endemism in the Interior Highlands of North America.,,165,73,539,569,"Ephemeroptera, endemism, Interior Highlands, biogeography",,0,321,1
"Allen, Richard K.",1977,A Review of ^Ephemerella (Dannella)^ and the Description of a New Species (Ephemeroptera: Ephemerellidae),The Pan-Pacific Entomologist,,53,215,217,,,0,1186,1
