Author,Date,Title,Journal,Journal ID,Volume,Page Start,Page End,Keword,Keword2,Reprint,LookupNumber,PDF
"Lewis, Philip A.",1974,Three new Stenonema species from Eastern North America (Heptageniidae: Ephemeroptera).,,309,76,347,355,"new species, Stenonema, Heptageniidae, mayflies, Ephemeroptera",,0,4,1
"Lewis, Standley E.",1978.,An immature fossil Ephemeroptera (Ephemeridae) from the Ruby River Basin (Oligocene) of southwestern Montana.,,15,71,479,480,"Oligocene, Ephemeridae, fossil",,1,987,0
"Lewis, Steven P.",1986,Records of ^Baetisca obesa^ (Say) (Ephemeroptera: Baetiscidae) in Southeast Texas and Southwest Louisiana.,,1827,31,396,398,"Ephemeroptera, Baetiscidae, Baetisca, Texas, Louiniana, records, biogeography",,0,61,1
"Liechti, P.M.",1982.,Five additional Ephemeroptera genera from Kansas.,,1878,12,13,16,"Ephemeroptera, Baetidae, Apobaetis, Dactylobaetis, Heptageniidae, Anepeorus, Ephemerellidae, Ephemerella, Eurylophella, Kansas",,0,461,1
"Liechti, P.M.",1980.,Baetis mayfly records for Kansas.,,1878,9,15,19,"Ephemeroptera, Baetidae, Baetis dardanus, ephippiatus, flavistriga, intercalaris, longipalpus, propinquus, pygmaeus, quilleri, Kansas",,0,462,1
"Liechti, Paul M.",1979.,^Caenis^ mayfly records for Kansas.,,1878,8,12,14,"Ephemeroptera, Caenidae, Caenis, Kansas",,0,472,1
"Liechti, Paul M.",1978.,^Stenonema^ mayfly records for Kansas.,,1878,6,53,58,"Ephemeroptera, Heptageniidae, Stenonema, Kansas",,0,473,1
"Liechti, Paul M.",1981.,"Kansas mayfly records for the genera Potamanthus, Pentagenia, Ephemera, Ephoron, and Tortopus.",,1878,10,52,56,"Ephemeroptera, Potamanthus, Pentagenia, Ephemera, Ephoron, Tortopus, Kansas",,0,474,1
"Long, L.S. and B.C. Kondratieff.",199?.,"The Mayflies (Ephemeroptera) of Tennessee, with a review of the possibly threatened species occurring within the stae.",,175,29,29,182,"Tennessee,",,1,557,0
"Lowen, Robert G. and John F. Flannagan",1992.,Nymphs and imagoes of four North American species of ^Procloeon^ Bengtsson with description of a new species (Ephemeroptera: Baetidae)*,,116,124,97,108,"Ephemeroptera, Baetidae, Procloeon",,1,237,1
"Lubini, V. and M. Sartori.",1994.,"Current status, distribution, life cycle and ecology of ^Rhithrogena germanica^ Eaton, 1885 in Switerland: preliminary results (Ephemeroptera, Heptageniidae).",,1844,56,388,397,"Heptageniidae, Rhithrogena germanica, life cycle, ecology",,1,710,0
"Lugo-Ortiz, C.R. and F.C. de Moor.",2000.,^Pseudocloeon aquacidum^: A new subjective synonym of ^P. latum^ (Ephemeroptera: Baetiae).,,141,111,380,381,"Baetidae, Africa, Pseudocloeon aquacidum, latum",,0,243,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1993.,Genera of Baetidae (Ephemeroptera) from Central America.,,141,104,193,197,"Central America, Baetidae, Acerpenna, Baetis,",,0,245,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1994.,New records of Ephemeroptera from Mexico.,,141,105,17,26,"Mexico, new records",,0,260,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1994.,^Farrodes^ (Ephemeroptera: Leptophlebiidae) in the Antilles: New species from Puerto Rico and review of the genus.,,141,105,263,266,"Puerto Rico, Ephemeroptera, Farrodes, taino, grenadae, hyalinus, Ephemeroptera, Leptophlebiidae,",,1,399,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1995.,"^Guajirolus nanus^ (Ephemeroptera: Baetidae), a new species from Costa Rica.",,141,106,68,70,"Ephemeroptera, Baetidae, Guajirolus nannus, ektrapeloglossa, Costa Rica",,1,441,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1995.,"New species, stage description, and records of ^Baetodes^ (Ephemeroptera: Baetidae) from Mexico and Central America.",,141,106,81,86,"Ephemeroptera, Baetidae, Baetodes, Mexico, Central America, Baetodes deludens, deficiens, fuscipes, longus, noventus, tritus, Coasta Rica.",,0,442,1
"Lugo-Ortiz, C.R. and W.P. Mccafferty.",1994.,"The mayfly genus Acerpenna (Insecta, Ephemeroptera, Baetidae) in Latin America.",,1395,29,65,74,"Ephemeroptera, Baetidae, Acerpenna, naranjoi, boriquensis, intermedia, pletura, robacki, Americabaetis, Latin America, Mexico, Costa Rica, Cuba",,1,454,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1995.,Contribution to the Taxonomy of the Leptohyphidae (Insecta: Ephemeroptera) of Central America.,,1395,30,165,176,"Ephemeroptera, Leptohyphidae, Leptohyphes, Tricorythodes, Haplohyphes, Costa Rica, Belize",,0,489,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,Contribution to the Taxonomy of ^Callibaetis^ (Ephemeroptera: Baetidae) in Southwestern North America and Middle America.,,423,18,1,9,"Ephemeroptera, Baetidae, Callibaetis, Mexico",,0,497,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,New species of Leptophlebiidae (Ephemeroptera) from Mexico and Central America.,,1871,32,3,18,"Ephemeroptera, Leptophlebiidae, Choroterpes, Thraulodes, Farrodes, Hagenulopsis, Traverella",,1,499,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,"Phylogeny and classification of the ^Baetodes^ complex (Ephemeroptera: Baetidae), with description of a new genus.",,1509,15,367,380,"Ephemeroptera, Baetidae, Baetodes, Moribaetis, Mayobaetis, Prebaetodes, Central America, Mexico, Ecuador, Colombia",,0,500,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,^Aturbina georgei^ gen. et sp. n.: A small minnow mayfly (Ephemeroptera: Baetidae) without turbinate eyes.,,423,18,175,183,"Ephemeroptera, Baetidae, Aturbina, South America",,0,512,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1995.,"Three distinctive new genera of Baetidae (Insecta, Ephemeroptera) from South America.",,1871,31,233,243,"Ephemeroptera, Baetidae, Adebrotus, Tomedontus, Waltzoyphius, South America,",,1,513,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,Central American ^Tortopus^ (Ephemeroptera: Polymitarcyidae):  A unique new species and new country records.,,141,107,23,27,"Polymitarcyidae, Tortopus, Central America",,0,514,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1997.,First adult description of the unusual baetid mayfly genus ^Echinobaetis^ (Ephemeroptera: Baetidae).,,141,108,113,116,"Baetidae, Echinobaetis, Sulawesi",,0,520,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,New Central American and Mexican records of Ephemeroptera species.,,141,107,303,310,"Ephemeroptera, Mexico, Baetidae, Caenidae, Ephemeridae, Heptageniidae, Isonychiidae, Leptohyphidae, Leptophlebiidae, Polymitarcyidae, Siphlonuridae",,0,528,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1995.,Annotated inventory of the mayflies of Arizona.,,141,106,131,140,"Arizona,",,1,531,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1995.,Taxonomy of the North and Central American species of ^Camelobaetidius^ (Ephemeroptera: Baetidae).,,141,106,178,192,"Camelobaetidius, Baetidae, North America, Central America",,1,532,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,The ^Bugilliesia^ complex of African Baetidae (Ephemeroptera).,,376,122,175,197,"Baetidae, Bugilliesia, Africa",,0,533,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,The genus ^Paracloeodes^ (Insecta: Ephemeroptera: Baetidae) and its presence in South America.,,1871,32,161,169,"Baetidae, Paracloeodes, South America, Brazil, Paraguay, Argentina",,0,537,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1997.,^Edmulmeatus grandis^: and extraordinary new genus and species of Baetidae (Insecta: Ephemeroptera) from Madagascar.,,1871,33,191,195,"Baetidae, Edmulmeatus, Madagascar, Africa",,1,538,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,^Crassabwa^: a new genus of small minnow mayflies (Ephemeroptera: Baetidae) from Africa.,,1871,32,235,240,"Baetidae, Crassabwa, Africa",,1,539,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,"The composition of ^Dabulamanzia^, a new genus of Afrotropical Baetidae (Ephmeroptera), with descriptions of two new species.",,102,132,7,13,"Baetidae, Dabulamanzia, Africa",,0,540,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,First report and new species of the genus ^Cloeodes^ (Ephemeroptera: Baetidae) from Australia.,,141,109,122,128,"Australia, Baetidae, Cloeodes, fustipalpus, illiesi, biogeography",,0,546,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1996.,"Taxonomy of the Neotropical genus ^Americabaetis^, new status (Insecta: Ephemeroptera: Baetidae).",,1395,31,156,169,"Baetidae, Americabaetis, South America, Argentina, Bolivia, Paraguay, Brazil,",,1,548,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,First report of the genus ^Siphlaenigma^ Penniket and the Family Siphlaenigmatidae (Ephemeroptera) from Australia.,,309,100,209,213,"Australia, Siphlaenigmatidae, Siphlaenigma",,0,549,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,An unusual new species of ^Camelobaetidius^ (Ephemeroptera: Baetidae) from Paraguay.,,141,110,221,224,"Paraguay, Camelobaetidius tuberosus, new species",,1,587,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1997.,^Maliqua^: a new genus of Baetidae (Ephemeroptera) for a species previously assigned to ^Afroptilum^.,,141,108,367,371,"Baetidae, Maliqua, Afroptilum, Africa",,0,664,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,"^Offadens^, a new genus of small minnow mayflies (Ephemeroptera: Baetidae) from Australia.",,309,100,306,309,"Baetidae, Offadens, Australia",,0,678,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,New name for a generic homonym in Teloganodidae (Ephemeroptera).,,141,109,344,,"taxonomy, homonym, TeloganodidaeNadinetella, Nadinella",,0,683,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,A new North American genus of Baetidae (Ephemeroptera) and key to ^Baetis^ complex genera.,,141,109,345,353,"Baetidae, Baetis, Plauditus, taxonomy",,1,685,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,A new ^Baetis^-complex genus (Ephemeroptera: Baetidae) from the Afrotropical Region.,,1389,6,297,301,"Baetidae, Glossidion, new genus, new species, Uganda",PDF,1,687,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,Three new genera of small minnow mayflies (Insecta: Ephemeroptera: Baetidae) from the Andes and Patagonia.,,1395,34,88,104,"Baetidae, South America, Andes, Patagonia",,1,694,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,A new genus of small Minnow Mayflies (Insecta: Ephemeropera: Baetidae) with six new species from New Guinea and New Britain.,,1871,35,57,70,"Baetidae, New Guinea, New Britain, Papuanatula",,1,696,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,Revision of South American species of Baetidae (Ephemeroptera) previously placed in ^Baetis^ Leach and ^Pseudocloeon^ Klaplek.,,1871,35,257,262,"Baetidae, Pseudocloeon, Baetis, South Ameica",,1,697,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,"^Delouardus^, a new ^Centroptiloides^ complex genus from Madagascar and its relationship with ^Chelecloeon^ Wuillot & Gillies (Ephemeroptera: Baetidae)",,1389,7,63,66,"Baetidae, Madagascar, Delouardus, Cheleocloeon, Centroptiloides",,1,698,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,"^Cheleocloeon falcatum^ (Crass), a new combination for a southern African species previously assigned to ^Afroptilum^ Gillies (Ephemerotpera: Baetidae).",,1389,6,379,380,"Africa, Cheleocloeon, Afroptilum, Baetidae",,1,702,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1988.,New larval variants and distributional records for ^Plauditus cestus^ (Ephemeroptera: Baetdiae),,175,31,201,204,"Baetidae, Plauditus cestus",,1,703,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,"Phylogeny and biogeography of ^Nesydemius^, n. gen., and related Afrotropical genera (Insecta: Ephemeroptera: Baetidae)",,102,134,7,12,"Baetidae, Crassabwa, Dabulamanzia, Nesydemius, new genus, new species",,1,704,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,^Edmundsiops instigatus^: a new genus and species of small minnow mayflies (Ephemeroptera: Baetidae) from Australia.,,141,110,65,69,"Australia, Baetidae, Edmundsiops",,1,743,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,New species of ^Cloeon^ and ^Demoulinia^ (Ephemeroptera: Baetidae) from Madagascar.,,141,109,357,362,"Madagascar, Baetidae, Cloeon, Demoulinia",,0,744,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",2001.,A new species of ^Dicentroptilum^ (Ephemeroptera: Baetidae) from Kenya.,,141,112,52,55,"Baetidae, Dicentroptilum, Kenya, clandestinum",,1,796,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,Global biodiversity of the mayfly family Baetidae (Ephemeroptera): a generic perspective.,,1915,2,45,54,"biodiversity, endemic,",,1,816,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.,Five new genera of Baetidae (Insecta: Ephemeroptera) from South America.,Annls Limnol.,0,34,57,73,"Baetidae, Cryptonympha, Rivdiva, Spiritiops, Varipes, Zelusia, South America, new genera",PDF,0,916,1
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1999.,Global biodiversity of the mayfly family Baetidae (Ephemeroptera): A generic perspective.,,581,2,45,54,"Baetidae, biodiversity",,0,924,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",1998.**,The ^Centroptiloides^ complex of Afrotropical small minnow mayflies (Ephemeroptera: Baetidae),,15,91,1,26,"Baetidae, Centroptiloides, Africa",,1,948,0
"Lugo-Ortiz, C.R. and W.P. McCafferty.",2007.,^Kivuiops^:  A new name for a generic homonym of Afrotropical Baetidae (Ephemeroptera).,,309,109,738,,"Baetidae, Kivuiops, Afrotropical, Africa",PDF,0,1121,1
"Lugo-Ortiz, C.R., W.P. McCafferty, and J.-L. Gattolliat.",1999.,The small minnow mayfly genus ^Cloeodes^ Traver (Ephemeroptera: Baetidae) in Madagascar.,,309,101,208,211,"Cloeodes, Baetidae, Madagascar",,1,755,0
"Lugo-Ortiz, C.R., W.P. McCafferty, and R.D. Waltz.",1994.,Contribution to the taxonomy of the Panamerican genus ^Fallceon^ (Ephemeroptera: Baetidae).,,217,102,460,475,"Baetidae, Fallceon, Central America",,1,509,1
"Lugo-Ortiz, C.R., W.P. McCafferty, and R.D. Waltz.",1999.,Definition and reorganization of the genus ^Pseudocloeon^ (Ephemeroptera: Baetidae) with new species descriptions and combinations.,,376,125,1,37,"Baetidae, Pseudocloeon, Labiobaetis, Holarctic, Aftropical, Oriental, Australian",,1,630,1
"Lyman, F.E.",1955.,Seasonal distribution and life cycles of Ephemeroptera.,,15,48,380,391,"life cycles, life history, Michigan, ecology, biology",,0,301,1
"Lyman, F.E.",1944.,Effect of temperature on the emergence of mayfly imagoes from the subimago stage.,,141,55,113,115,"Ephemeroptera, temperature, subimago",,1,319,1
"Lyman, F.E.",1943.,Swimming and burrowing activities of mayfly nymphs of the genus ^Hexagenia^.,,15,36,250,256,"Ephemeridae, Hexagenia",,1,577,0
"Lyman, F.E.",1956.,"Environmental factors affecting distribution of mayfly nymphs in Douglas Lake, Michigan.",,132,37,568,576,"Michigan, ecology, biology",,1,607,0
"Lyman, F.E.",1945.,Reactions of certain nymphs of ^Stenonema^ (Ephemeroptera) to light as related to habitat preference.,,15,38,234,236,"ecology, Stenonema, light",,1,628,0
"Lyman, F.E.",1944.,"Notes on emergence, swarming, and mating of ^Hexagenia^ (Ephemeroptera).",,141,55,207,210,"ecology, emergence, swarming",,1,638,1
"Macan, T.T.",1981.,"Life histories of some species of ^Ecdyonurus^ (Ephemeroptera) in the River Lune, North-western England.",,423,3,225,232,"Ephemeroptera, Heptageniidae, Ecdyonurus, England, life history,life cycle",,0,161,1
"Macan, T.T.",1950.,Descriptions of some nymphs of the British species of the genus Baetis (Ephem.),,388,10,143,166.,"Ephemeroptera, England, Baetidae",,1,828,0
"Magdych, W.P.",1979.,"The microdistribution of mayflies (Ephemeroptera) in ^Myriophyllum^ beds in Pennington Creek, Johnston County, Oklahoma.",,1826,66,161,175,"Ephemeroptera, Oklahoma, ecology, Myriophyllum, microdistribution, microhabitat, thermal constancy, competition, Baetis flavistriga, quilleri, Tricorythodes fictus, Caenis delicata, Caenidae, Baetidae",,0,307,1
"Malzacher, Peter",1998,"Remarks on the Genus ^Brasilocaenis^ (Ephemeroptera: Caenidae), with the description of a new species ^Brasilocaenis mendesi^",Stuttgarter Beitrage zur Naturkunde,,580,1,6,,,0,1191,1
"Malzacher, Peter",2001,South and Central American ^Caenis^ Species with Rounded Forceps Tips (Insecta: Ephemeroptera: Caenidae),Stuttgarter Beitrage zur Naturkunde,,626,1,20,,,0,1192,1
"Malzacher, Peter",2011,The West African species of ^Caenis^ Stephens (Insecta: Ephemeroptera),Stuttgarter Beitrage zur Naturkunde A,,4,43,74,,,0,1195,1
"Malzacher, Peter and Arnold H. Staniczek",2007,^Caenis vanuatensis^ a new species of mayflies (Ephemeroptera: Caenidae) from Vanuatu,Aquatic Insects,,29,285,295,,,0,1194,1
"Malzacher, Peter, Carlos Naranjo, Dany D. Gonzalez-Lazo, and Nikita J. Kluge",2007,"^Caenis cubensis^, a new species of mayflies from Cuba (Ephemeroptera: Caenidae)",Aquatic Insects,,29,225,233,,,0,1193,1
"Marchant, R.",1986.,"Estimates of annual production for some aquatic insects from the La Trobe River, Victoria.",,1853,37,113,120,"Ephemeroptera, production, Australia",,0,136,1
"Maria Marleny Chacon, Samuel Segnini, and Eduardo Dominguez.",1999.,Three new species of ^Thraulodes^ (Ephemeroptera: Leptophlebiidae: Atalophlebiinae) from Venezuela.,,423,21,249,257,"Leptophlebiidae, Thraulodes, Venezuela",,0,930,0
"Mathis, B.J. and T.C. Dorris.",1968.,Community structure of benthic macroinvertebrates in an intermittent stream receiving oil field brines.,,29,80,428,439,"Ephemeroptera, Oklahoma, ecology, Caenis, Caenidae, Heptageniidae, Stenonema, Leptophlebiidae, Choroterpes, Baetidae, Baetis",,0,330,1
"Matlock, J.K. and O.E. Maughan.",1988.,Effects of clear cut logging on benthic assemblages in southeastern Oklahoma.,,1833,68,85,86,"Oklahoma, pollution, logging, Ephemeroptera, Siphlonuridae, Baetiscidae, Tricorythidae,",,0,357,1
"Matthews, K.A. and D.C. Tarter.",1989.,"Ecological life history, including laboratory respiratory investigation, of the mayfly, ^Ameletus tarteri^ (Ephemeroptera: Siphloneuridae).",,290,96,21,37,"Ephemeroptera, Siphloneuridae, Ameletus tarteri, life history, ecology, West Virginia",,0,89,1
"Matthews, W.J. and H.W. Robinson.",1988.,The distribution of the fishes of Arkansas: A multivariate analysis.,,1866,2,358,374,"Ecology, multivariate analysis, statistics, fish, Arkansas",,0,279,1
"May, R.M.",1992.,How many species inhabit the earth.,,1892,267,42,48,"biodiversity, pollution, systematics, taxonomy",,0,360,1
"Mayden, R.L.",1985.,Biogeography of Ouachita Highland fishes.,,1827,30,195,211,"biogeography, systematics, Interior Highlands",,0,378,1
"Mayo, V.K.",1973.,Four new species of the genus ^Baetodes^.,,323,49,308,314,"Ephemeroptera, Baetidae, Baetodes, proiectus, peniculus, longus, furvus, systematics, taxonomy, South America, Mexico, Bolivia, Venezuela",,1,424,1
"Mayo, V.K.",1972.,New species of the genus ^Baetodes^.,,323,48,226,241,"Ephemeroptera, Baetidae, Baetodes, chilloni, Peru, traverae, solus, andamagensis, obesus, Mexico, bellus, fortinensis, veracrusensis, sancticatarinae, Brazil, systematics, taxonomy",,1,426,0
"Mayo, V.K.",1968.,Two new species of the genus ^Baetodes^ from Ecuador.,,323,44,251,257,"Ephemeroptera, Baetidae, Baetodes, spinae, levis, Ecuador, systematics, taxonomy",,0,427,1
"Mayo, V.K.",1951.,New western Ephemeroptera II.,,323,27,121,125,"Ephemerellidae, Ephemerella pelosa, California",,0,458,1
"Mayo, V.K.",1973.,A new species of ^Baetis^ from Ecuador.,,323,49,285,288,"Baetidae, Baetis ellenae, Ecuador, new species",,1,727,0
"Mayo, V.K.",1969.,Nymph of ^Thraulodes speciosus^ Traver with notes on a symbiotic chironomid.,,323,45,103,112,"Thraulodes speciosus, symbiotic chironomid",,1,729,0
"Mayo, V.K.",1939.,New Western Ephemeroptera.,,323,15,145,154,"California, new species, Ephemerellidae, Baetidae, Siphlonuridae, Heptageniidae",,1,833,0
"Mayo, V.K.",1968,Some new mayflies of the Subfamily Leptohyphinae (Ephemeroptera: Tricorythidae),,323,44,301,308,"Leptohyphidae, Cotopaxi, Leptohyphes, new species",,0,838,0
"McCafferty, W. P.",2000,New Baetidae (Insecta : Ephemeroptera) from Lake Malawi,"Bull. Soc. Hist. Nat., Toulouse",,136,65,72,,,0,1172,1
"McCafferty, W. P.",2003,"Gose's African Ephemeroptera (Baetidae, Heptageniidae)",Entomological News,,113,294,302,,,0,1173,1
"McCafferty, W. P.",2006,"Mayflies (Insecta: Ephemeroptera) of Yellowstone National Park, U.S.A.",Check List,,3,4,8,,,0,1174,1
"McCafferty, W. P.",2011,Notable new North and Central American records of Ephemeroptera species,Transactions of the American Entomological Society,,137,1,10,,,0,1184,1
"McCafferty, W. P.",1999,Biodiversity and Biogeography: Examples from Global Studies of Ephemeroptera,Nature Conservation and Entomology in the 21st Century,,11,1,22,,,0,1196,1
"McCafferty, W. P. and Y. J. Bae",1994,Life History Aspects of ^Anthopotamus verticis^ [Ephemeroptera: Potamanthidae],The Great Lakes Entomologist,,27,57,67,,,0,1171,1
"McCafferty, W. Patrick and John R. Mauremootoo.",2000.,"The first mayfly taken from the island of Mauritius [Ephemeroptera, Baetidae].",Ephemera,,2,105,111,,,0,1170,1
"McCafferty, W.P.",1990,A new species of ^Stenonema^ (Ephemeroptera: Heptageniidae) from North Carolina.,,309,92,760,764,"Ephemeroptera, Heptageniidae, Stenonema, new species, Stenonema lenati",,0,16,1
"McCafferty, W.P.",1981,A distinctive new species of ^Stenonema^ (Ephemeroptera: Heptageniidae) from Kentucky and Missouri.,,309,83,512,515,"Ephemeroptera, Heptageniidae, Stenonema, new species",,0,17,1
"McCafferty, W.P.",1991.,Toward a phylogenetic classification of the Ephemeroptera (Insecta): A commentary of systematics.,,15,84,343,360,"Ephemeroptera, phylogenetic systematics, systematic methodology",,0,65,1
"McCafferty, W.P.",1990.,"Biogeographic affinities of the Ephemeroptera of the Black Hills, South Dakota.",,141,101,193,199,"Ephemeroptera, Biogeography, Black Hills, South Dakota, Baetidae, Caenidae, Ephemerellidae, Heptageniidae, Leptophlebiidae, Siphlonuridae, Tricorythidae",,0,69,1
"McCafferty, W.P.",1985.,The Ephemeroptera of Alaska.,,309,87,381,386,"Ephemeroptera, Alaska, Biogeography, biodiversity",,0,81,1
"McCafferty, W.P.",1975.,The burrowing mayflies (Ephemeroptera: Ephemeroidea) of the United States.,,376,101,447,504,"Ephemeroptera, systematics, Ephemeridae, Behningiidae, Potamanthidae, Palingeniidae, Polymitarcyidae",,0,88,1
"McCafferty, W.P.",1977.,Biosystematics of ^Dannella^ and related subgenera of ^Ephemerella^ (Ephemeroptera: Ephemerellidae).,,15,70,881,889,"Ephemeroptera, Ephemerellidae, Ephemerella, systematics, revision, Eurylophella, Timpanoga, Attenella, Dannella, lita, provonshai, simplex",,0,90,1
"McCafferty, W.P.",1985.,New spiny crawlers from headwaters of the Savannah River (Ephemeroptera: Ephemerellidae).,,309,87,421,425,"Ephemeroptera, Ephemerellidae, Savannah River, Ephemerella floripara, Drunella",,1,107,1
"McCafferty, W.P.",1984.,The relationship between North and Middle American ^Stenonema^ (Ephemeroptera: Heptageniidae).,,175,17,125,125,"Ephemeroptera, Heptageniidae, Stenonema, ecology, systematics, Stenonema integrum, mexicanum",,0,133,1
"McCafferty, W.P.",1984.,A new synonym in ^Hexagenia^ (Ephemeroptera: Ephemeridae).,,309,86,789,,"Ephemeroptera, Ephemeridae, Hexagenia, systematics",,0,134,1
"McCafferty, W.P.",1989.,Characterization and relationships of the subgenera of ^Isonychia^ (Ephemeroptera: Oligoneuriidae).,,141,100,72,78,"Ephemeroptera, Oligoneuriidae, Isonychia, systematics, taxonomy",,0,170,1
"McCafferty, W.P.",1992.,New larval descriptions and comparisons of North American ^Choroterpes^ (Ephemerotpera: Leptophlebiidae).,,175,25,25,77,"Ephemeroptera, Leptophlebiidae, Choroterpes",,0,216,1
"McCafferty, W.P.",1982.,A new species of ^Nixe^ from Indiana (Ephemeroptera: Heptageniidae).,,175,15,227,229,"Nixe flowersi, Heptagenia persimplex, Heptageniidae",,0,227,1
"McCafferty, W.P.",1977.,Newly associated larvae of three species of ^Heptagenia^ (Ephemeroptera: Heptageniidae).,,210,12,347,350,"Ephemeroptera, Heptageniidae, Heptagenia inconspicua, Heptagenia minerva, Leucrocuta minerva, Heptagenia persimplex",,0,230,1
"McCafferty, W.P.",1993.,Commentary on ^Drunella tuberculata^ and ^Procloeon pennulatum^ (Ephemeroptera: Ephemerellidae; Baetidae) in North Carolina.,,141,104,235,239,"Ephemeroptera, Baetidae, Ephemerellidae, Drunella tuberculata, Procloeon pennulatum, North Carolina",,0,257,1
"McCafferty, W.P.",1985.,New records of Ephemeroptera from Middle America.,,1872,1,9,11,"Ephemeroptera, Central America, Baetidae, Leptohyphidae, Leptophlebiidae",,0,510,1
"McCafferty, W.P.",1996.,Emendations to the ^Callibaetis^ (Ephemeroptera: Baetidae) of South America.,,141,107,230,232,"Baetidae, Callibaetis, South America",,0,521,1
"McCafferty, W.P.",2007.,"^Moribaetis mimbresaurus^, new species (Ephemeroptera: Baetidae):  first representative of the genus North of Mexico.",,309,109,696,699,"Baetidae, Moribaetis mimbresaurus, Arizona, new species",PDF,0,623,1
"McCafferty, W.P.",1998.,Ephemeroptera and the great American interchange.,,1509,17,1,20,"Ephemeroptera, biogeography, dispersal, Central American corridor, Panamerican faunistics",,1,624,1
"McCafferty, W.P.",1998.,Additions and corrections to Ephemeroptera species of North America and index to their complete nomenclature.,,141,109,266,268,"taxonomy, internet",,0,684,0
"McCafferty, W.P.",2000.,Notations of South American Baetidae (Ephemeroptera).,,141,111,375,379,"Baetidae, South America, new combinations, taxonomy",,1,714,0
"McCafferty, W.P.",2000.,A new Nearctic ^Apobaetis^ (Ephemeroptera: Baetidae).,,141,111,265,269,"Baetidae, Apobaetis lakota, new species",,0,715,1
"McCafferty, W.P.",1999.,Distribution of Siphlaenigmatidae (Ephemeroptera).,,141,110,191,,"New Zealand, Australia, Siphlaenigmatidae",,1,752,1
"McCafferty, W.P.",1999.,"^Acerpenna thermophilos^, comb. n. (Ephemeroptera: Baetidae).",,141,110,187,189,"Baetidae, Acerpenna thermophilos",,0,754,0
"McCafferty, W.P.",2001.,Status of some historically unfamiliar American mayflies (Ephemeroptera).,,323,77,210,218,"North American species, extinctions, new synonyms",,1,784,0
"McCafferty, W.P.",,Reinstatement of two junior secondary hymonyms in the Family Baetidae (Ephemeroptera).,,141,,,,"Baetidae, parvulum, armillatus, cingulatum",,0,793,0
"McCafferty, W.P.",2000.,Reporting species record data.,,141,111,312,311,"species records, reporting",,0,815,0
"McCafferty, W.P.",2004,"Contribution to the systematics of ^Leucrocuta^, ^Nixe^, and related genera (Ephemeroptera: Heptageniidae).",,376,130,1,9,"Heptageniidae, Leucrocuta, Nixe, Siberionurus, Ecdyonurus",,1,851,1
"McCafferty, W.P.",2004,Heptageniidae (Ephemeroptera) of the World. Part I:  Phylogenetic higher classification.,,376,130,11,45,Heptageniidae,,0,852,0
